Title;Ingredients;Catagory;Discription;Price;Country;Month
Creamy Broccoli Vegan Pasta;White beans,Lemon juice,Herbs,Vegetable broth,Pasta,Broccoli,pine nuts;vegan;While this sauce looks like a rich cream or cheese sauce, it’s actually a tangy, luscious blend of white beans, lemon juice, and nutritional yeast.;8;Italy;April
Butternut Squash Stuffed Shells;Cashews,Lemon juice,Herbs,Butternut squash,Spinach,Tofu,Lemon zest;vegan;Creamy, tangy, and with a caramelized sweetness from roasted butternut squash, this stuffed shells recipe is one you’re sure to love.;7;Italy;April
Creamy Pasta Pomodoro;Tomatoes,Cane sugar,Shallot,Cashews,Rigatoni,Zucchini,Thyme,Basil;vegan;Is there anything better than creamy pasta? How about creamy tomato pasta!;4;Italy;April
Vegan Tacos;Mango,Cucumber,Orange juice,Lime juice,Cilantro,Paprika,Thyme,Cumin,Cinnamon,Nutmeg,Scallions,Coconut sugar,Tamari;vegan;It has a fantastic hearty texture and bold, spicy flavor that’s perfectly accented by a sweet and juicy mango avocado salsa.;12;Mexico;May
Best Veggie Burger;Shallot,Shiitake mushrooms,Tamari,Paprika,Maple syrup,Brown rice,Hamburger buns;vegan;This veggie burger has an amazing meaty texture and savory, smoky flavor. It’ll keep its shape when it’s stuffed inside a bun, and it’s delicious with fancy fixings or with good old ketchup and mustard. Unlike many packaged veggie burgers, its incredible texture and flavor come from simple, plant-based ingredients, so it doesn’t just taste good – it’s good for you, too!;11;Bali;August
Maki Sushi Recipe;Shiitake mushrooms,Tamari,Carrots,Ginger,Brown rice,Cane sugar,Cabbage,Cucumber,Avocado;vegan;These maki sushi rolls are filled with savory roasted shiitake mushrooms, avocado, cucumber, and red cabbage for crunch & color.;14;Japan;September
Creamy Steak Fettuccine;Fettuccine,Sirloin steak,Flour,Milk,Parmesan,Parsley,Tomatoes,Spinach;meat;Coocked pasta with Spinach topped with sliced steak and drizzle with balsamic glaze.;12;Italy;July
Steak Au Poivre Soup;Sirloin steak,shallot,Brandy,Broth,Potatoes,Heavy cream;meat;A dellicious Steak soup;13;Denmark;August
Steak Frites Salad;Paprika,Fries,Flank steak,Lemon juice,Cucumber,Tomatoes,Shallot;meat;Your classic Steak Fries Salad dish;14;America;July
Ribeye Steak;Ribeye Steak,Thyme,Rosemary;meat;A Ribeye Steak from America;11;America;April
Pan-fried salmon with watercress sauce;Watercress,Dill,Crème fraîche,Lemon juice,Salmon,Potatoes,Broccoli;Fish;A fresh Salmon dish with watercress;10;Spain;March;
Ras el hanout salmon with jewelled couscous;Salmon,Couscous,Raisins,Lemon juice,Honey,Parsley,coriander,Almonds;Fish;Add some colour midweek with this nutritious salmon recipe topped with pomegranate seeds and toasted flaked almonds.;8;Marroco;Februari
Creamy cucumber salad;Sour cream,Lemon juice,Dill,Cucumber;vegaterian;This classic summer salad is made with cucumbers, onions, and a simple creamy dressing. The dressing can vary from recipe to recipe, but it’s usually either a sour cream or yogurt base with some sort of acid (lemon juice or vinegar), a little sugar, and dill. It’s simple, fresh, and delicious!;7;Belgium;June
Spinach and Feta Grilled Cheese;Spinach,Bread,Mozzarella,Feta;vegaterian;grilled cheese sandwich to the next level with this gourmet Spinach Feta Grilled Cheese!;4;Netherlands;June